                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7901,                 4.5868,                 2.2617,                0.00278,                0.58824,                0.00254,                0.00093,                 2.5986,                 4.6313,                 2.1846,                0.00036,                0.00036,                0.00036
                      2,                 1.8557,                 2.9559,                 1.5211,                0.77634,                0.58824,                0.64799,                0.39453,                 1.5988,                 2.9437,                 1.3273,             0.00069116,             0.00069116,             0.00069116
                      3,                  1.526,                 2.4254,                 1.3186,                0.77242,                0.82353,                0.86894,                 0.5571,                 1.3854,                 2.1661,                 1.1636,             0.00097216,             0.00097216,             0.00097216
                      4,                 1.4546,                 2.0879,                 1.2239,                      1,                0.64183,                0.85083,                 0.5077,                 1.3752,                 2.1397,                 1.1572,               0.001203,               0.001203,               0.001203
                      5,                  1.442,                 2.1439,                 1.1794,                0.83486,                0.89257,                 0.9408,                0.51016,                 1.5644,                 2.0258,                  1.145,              0.0013837,              0.0013837,              0.0013837
                      6,                  1.204,                 1.8558,                 1.1003,                0.76183,                0.94083,                0.84071,                0.51316,                 1.4735,                 1.9515,                 1.1232,                0.00134,                0.00134,                0.00134
                      7,                 1.1928,                 1.8866,                  1.109,                0.95556,                0.76471,                0.88455,                0.51499,                 1.3395,                 2.0293,                 1.0987,                0.00134,                0.00134,                0.00134
                      8,                 1.1395,                 1.7643,                 1.0947,                0.91913,                0.76471,                0.89154,                0.53375,                 1.3244,                 1.8027,                 1.0692,               0.001208,               0.001208,               0.001208
                      9,                  1.142,                 1.5477,                 1.0992,                 0.9318,                0.80459,                0.92293,                0.58536,                 1.2872,                 1.8902,                 1.0757,               0.001076,               0.001076,               0.001076
                     10,                 1.0602,                  1.475,                 1.0242,                0.93625,                0.86476,                0.94633,                0.62433,                 1.2274,                 1.5021,                 1.0627,               0.000944,               0.000944,               0.000944
                     11,                 1.0479,                 1.4331,                 1.0267,                0.93717,                0.87774,                 0.9438,                0.61503,                 1.1803,                 1.4233,                 1.0342,               0.000812,               0.000812,               0.000812
                     12,                 1.0086,                 1.3497,                  1.014,                0.93599,                0.86103,                0.94842,                0.62117,                 1.2346,                 1.3905,                 1.0269,                0.00068,                0.00068,                0.00068
                     13,                0.98507,                 1.2798,                0.96605,                0.80054,                      1,                0.95655,                0.62876,                 1.2191,                 1.3796,                 1.0233,               0.000548,               0.000548,               0.000548
                     14,                 1.0067,                  1.253,                 1.0028,                0.98979,                0.76471,                0.94678,                0.62695,                 1.2058,                 1.3704,                 1.0172,               0.000416,               0.000416,               0.000416
                     15,                0.97281,                 1.2217,                  0.998,                0.98938,                0.76471,                   0.95,                 0.6137,                  1.158,                 1.3227,                 1.0097,               0.000284,               0.000284,               0.000284
